K4a, 99, 98, 97, 96, 95, 94, 93, 92, 91, 90, 89, 88, 87, 86, 85, 84, 83, 82, 81, 80, 79, 78, 77, 76, 75, 74, 73, 72, 71, 70, 69, 68, 67, 66, 65, 64, 63, 62, 61, 60, 59, 58, 57, 56, 55, 54, 53, 52, 51, 50, 49, 48, 47, 46, 45, 44, 43, 42, 41, 40, 39, 38, 37, 36, 35, 34, 33, 32, 31, 30, 29, 28, 27, 26, 25, 24, 23, 22, 21, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1
20-70, 180.00, 178.16, 176.33, 174.49, 172.65, 170.82, 168.98, 167.14, 165.31, 163.47, 161.63, 159.80, 157.96, 156.12, 154.29, 152.45, 150.61, 148.78, 146.94, 145.10, 143.27, 141.43, 139.59, 137.76, 135.92, 134.08, 132.24, 130.41, 128.57, 126.73, 124.90, 123.06, 121.22, 119.39, 117.55, 115.71, 113.88, 112.04, 110.20, 108.37, 106.53, 104.69, 102.86, 101.02, 99.18, 97.35, 95.51, 93.67, 91.84, 90.00, 88.16, 86.33, 84.49, 82.65, 80.82, 78.98, 77.14, 75.31, 73.47, 71.63, 69.80, 67.96, 66.12, 64.29, 62.45, 60.61, 58.78, 56.94, 55.10, 53.27, 51.43, 49.59, 47.76, 45.92, 44.08, 42.24, 40.41, 38.57, 36.73, 34.90, 33.06, 31.22, 29.39, 27.55, 25.71, 23.88, 22.04, 20.20, 18.37, 16.53, 14.69, 12.86, 11.02, 9.18, 7.35, 5.51, 3.67, 1.84, 0.00
###
K4b, 99, 98, 97, 96, 95, 94, 93, 92, 91, 90, 89, 88, 87, 86, 85, 84, 83, 82, 81, 80, 79, 78, 77, 76, 75, 74, 73, 72, 71, 70, 69, 68, 67, 66, 65, 64, 63, 62, 61, 60, 59, 58, 57, 56, 55, 54, 53, 52, 51, 50, 49, 48, 47, 46, 45, 44, 43, 42, 41, 40, 39, 38, 37, 36, 35, 34, 33, 32, 31, 30, 29, 28, 27, 26, 25, 24, 23, 22, 21, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1
20-70, 50.00, 49.49, 48.98, 48.47, 47.96, 47.45, 46.94, 46.43, 45.92, 45.41, 44.90, 44.39, 43.88, 43.37, 42.86, 42.35, 41.84, 41.33, 40.82, 40.31, 39.80, 39.29, 38.78, 38.27, 37.76, 37.24, 36.73, 36.22, 35.71, 35.20, 34.69, 34.18, 33.67, 33.16, 32.65, 32.14, 31.63, 31.12, 30.61, 30.10, 29.59, 29.08, 28.57, 28.06, 27.55, 27.04, 26.53, 26.02, 25.51, 25.00, 24.49, 23.98, 23.47, 22.96, 22.45, 21.94, 21.43, 20.92, 20.41, 19.90, 19.39, 18.88, 18.37, 17.86, 17.35, 16.84, 16.33, 15.82, 15.31, 14.80, 14.29, 13.78, 13.27, 12.76, 12.24, 11.73, 11.22, 10.71, 10.20, 9.69, 9.18, 8.67, 8.16, 7.65, 7.14, 6.63, 6.12, 5.61, 5.10, 4.59, 4.08, 3.57, 3.06, 2.55, 2.04, 1.53, 1.02, 0.51, 0.00
###
K4c, 99, 98, 97, 96, 95, 94, 93, 92, 91, 90, 89, 88, 87, 86, 85, 84, 83, 82, 81, 80, 79, 78, 77, 76, 75, 74, 73, 72, 71, 70, 69, 68, 67, 66, 65, 64, 63, 62, 61, 60, 59, 58, 57, 56, 55, 54, 53, 52, 51, 50, 49, 48, 47, 46, 45, 44, 43, 42, 41, 40, 39, 38, 37, 36, 35, 34, 33, 32, 31, 30, 29, 28, 27, 26, 25, 24, 23, 22, 21, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1
20-70, 180.00, 178.16, 176.33, 174.49, 172.65, 170.82, 168.98, 167.14, 165.31, 163.47, 161.63, 159.80, 157.96, 156.12, 154.29, 152.45, 150.61, 148.78, 146.94, 145.10, 143.27, 141.43, 139.59, 137.76, 135.92, 134.08, 132.24, 130.41, 128.57, 126.73, 124.90, 123.06, 121.22, 119.39, 117.55, 115.71, 113.88, 112.04, 110.20, 108.37, 106.53, 104.69, 102.86, 101.02, 99.18, 97.35, 95.51, 93.67, 91.84, 90.00, 88.16, 86.33, 84.49, 82.65, 80.82, 78.98, 77.14, 75.31, 73.47, 71.63, 69.80, 67.96, 66.12, 64.29, 62.45, 60.61, 58.78, 56.94, 55.10, 53.27, 51.43, 49.59, 47.76, 45.92, 44.08, 42.24, 40.41, 38.57, 36.73, 34.90, 33.06, 31.22, 29.39, 27.55, 25.71, 23.88, 22.04, 20.20, 18.37, 16.53, 14.69, 12.86, 11.02, 9.18, 7.35, 5.51, 3.67, 1.84, 0.00
###
K4d, 99, 98, 97, 96, 95, 94, 93, 92, 91, 90, 89, 88, 87, 86, 85, 84, 83, 82, 81, 80, 79, 78, 77, 76, 75, 74, 73, 72, 71, 70, 69, 68, 67, 66, 65, 64, 63, 62, 61, 60, 59, 58, 57, 56, 55, 54, 53, 52, 51, 50, 49, 48, 47, 46, 45, 44, 43, 42, 41, 40, 39, 38, 37, 36, 35, 34, 33, 32, 31, 30, 29, 28, 27, 26, 25, 24, 23, 22, 21, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1
20-70, 90.00, 89.08, 88.16, 87.24, 86.33, 85.41, 84.49, 83.57, 82.65, 81.73, 80.82, 79.90, 78.98, 78.06, 77.14, 76.22, 75.31, 74.39, 73.47, 72.55, 71.63, 70.71, 69.80, 68.88, 67.96, 67.04, 66.12, 65.20, 64.29, 63.37, 62.45, 61.53, 60.61, 59.69, 58.78, 57.86, 56.94, 56.02, 55.10, 54.18, 53.27, 52.35, 51.43, 50.51, 49.59, 48.67, 47.76, 46.84, 45.92, 45.00, 44.08, 43.16, 42.24, 41.33, 40.41, 39.49, 38.57, 37.65, 36.73, 35.82, 34.90, 33.98, 33.06, 32.14, 31.22, 30.31, 29.39, 28.47, 27.55, 26.63, 25.71, 24.80, 23.88, 22.96, 22.04, 21.12, 20.20, 19.29, 18.37, 17.45, 16.53, 15.61, 14.69, 13.78, 12.86, 11.94, 11.02, 10.10, 9.19, 8.27, 7.35, 6.43, 5.51, 4.59, 3.67, 2.76, 1.84, 0.92, 0.00
###
K5a, 99, 98, 97, 96, 95, 94, 93, 92, 91, 90, 89, 88, 87, 86, 85, 84, 83, 82, 81, 80, 79, 78, 77, 76, 75, 74, 73, 72, 71, 70, 69, 68, 67, 66, 65, 64, 63, 62, 61, 60, 59, 58, 57, 56, 55, 54, 53, 52, 51, 50, 49, 48, 47, 46, 45, 44, 43, 42, 41, 40, 39, 38, 37, 36, 35, 34, 33, 32, 31, 30, 29, 28, 27, 26, 25, 24, 23, 22, 21, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1
20-70, 160.00, 158.37, 156.73, 155.10, 153.47, 151.84, 150.20, 148.57, 146.94, 145.31, 143.67, 142.04, 140.41, 138.78, 137.14, 135.51, 133.88, 132.24, 130.61, 128.98, 127.35, 125.71, 124.08, 122.45, 120.82, 119.18, 117.55, 115.92, 114.29, 112.65, 111.02, 109.39, 107.76, 106.12, 104.49, 102.86, 101.22, 99.59, 97.96, 96.33, 94.69, 93.06, 91.43, 89.80, 88.16, 86.53, 84.90, 83.27, 81.63, 80.00, 78.37, 76.73, 75.10, 73.47, 71.84, 70.20, 68.57, 66.94, 65.31, 63.67, 62.04, 60.41, 58.78, 57.14, 55.51, 53.88, 52.24, 50.61, 48.98, 47.35, 45.71, 44.08, 42.45, 40.82, 39.18, 37.55, 35.92, 34.29, 32.65, 31.02, 29.39, 27.76, 26.12, 24.49, 22.86, 21.22, 19.59, 17.96, 16.33, 14.69, 13.06, 11.43, 9.80, 8.16, 6.53, 4.90, 3.27, 1.63, 0.00
###
